"cod_elettorale","cod_istat","cod_catastale","desc_comune","cod_comune","desc_provincia","cod_provincia","desc_regione","cod_regione","ele_f","ele_m","ele_t","vot_f","vot_m","vot_t","perc_affluenza","pos_candidato","cognome","nome","voti_candidato","perc_candidato","eletto","pos_lista","nome_lista","voti_lista","perc_lista"
"030860350","012042","C139","CASTELLANZA","0350","VARESE","086","LOMBARDIA","03",6230,5792,12022,2952,2682,5634,46.86,2,"CAPUTO","ROMEO",731,13.22,NA,2,"CASTELLANZA NEL CUORE",731,13.22
"030861010","012119","I441","SARONNO","1010","VARESE","086","LOMBARDIA","03",16323,14851,31174,8190,7409,15599,50.04,2,"AZZI","RIENZO",6640,43.29,NA,4,"FORZA ITALIA - NOI MODERATI - PPE",2752,19.55
"030861010","012119","I441","SARONNO","1010","VARESE","086","LOMBARDIA","03",16323,14851,31174,8190,7409,15599,50.04,2,"AZZI","RIENZO",6640,43.29,NA,5,"FRATELLI D'ITALIA",1989,14.13
"030861010","012119","I441","SARONNO","1010","VARESE","086","LOMBARDIA","03",16323,14851,31174,8190,7409,15599,50.04,2,"AZZI","RIENZO",6640,43.29,NA,3,"LEGA SALVINI LOMBARDIA",1406,9.99
"030861010","012119","I441","SARONNO","1010","VARESE","086","LOMBARDIA","03",16323,14851,31174,8190,7409,15599,50.04,3,"PAGANI","ILARIA MARIA",4228,27.56,NA,6,"PARTITO DEMOCRATICO",2671,18.97
"030861010","012119","I441","SARONNO","1010","VARESE","086","LOMBARDIA","03",16323,14851,31174,8190,7409,15599,50.04,3,"PAGANI","ILARIA MARIA",4228,27.56,NA,8,"TU@ SARONNO",732,5.2
"030861010","012119","I441","SARONNO","1010","VARESE","086","LOMBARDIA","03",16323,14851,31174,8190,7409,15599,50.04,3,"PAGANI","ILARIA MARIA",4228,27.56,NA,7,"INSIEME PER CRESCERE",529,3.76
"030861010","012119","I441","SARONNO","1010","VARESE","086","LOMBARDIA","03",16323,14851,31174,8190,7409,15599,50.04,4,"CICERONI","NOVELLA",2275,14.83,NA,11,"OBIETTIVO SARONNO",1042,7.4
"030861010","012119","I441","SARONNO","1010","VARESE","086","LOMBARDIA","03",16323,14851,31174,8190,7409,15599,50.04,4,"CICERONI","NOVELLA",2275,14.83,NA,9,"SARONNO SICURA",564,4.01
"030861010","012119","I441","SARONNO","1010","VARESE","086","LOMBARDIA","03",16323,14851,31174,8190,7409,15599,50.04,4,"CICERONI","NOVELLA",2275,14.83,NA,10,"IDEA FUTURO",398,2.83
"030861010","012119","I441","SARONNO","1010","VARESE","086","LOMBARDIA","03",16323,14851,31174,8190,7409,15599,50.04,1,"AIROLDI","AUGUSTO",2197,14.32,NA,1,"SARONNO CIVICA  AIROLDI SINDACO",1477,10.49
"030861010","012119","I441","SARONNO","1010","VARESE","086","LOMBARDIA","03",16323,14851,31174,8190,7409,15599,50.04,1,"AIROLDI","AUGUSTO",2197,14.32,NA,2,"PERCORSO DEMOCRATICO",520,3.69
"030990510","098051","I362","SANTO STEFANO LODIGIANO","0510","LODI","099","LOMBARDIA","03",774,785,1559,534,536,1070,68.63,2,"ROSSI","PAOLA",529,50.33,"S",2,"IL BENE COMUNE",529,50.33
"030990510","098051","I362","SANTO STEFANO LODIGIANO","0510","LODI","099","LOMBARDIA","03",774,785,1559,534,536,1070,68.63,1,"BONFANTI","MAURO",427,40.63,NA,1,"UNITI PER RIPARTIRE",427,40.63
"030990510","098051","I362","SANTO STEFANO LODIGIANO","0510","LODI","099","LOMBARDIA","03",774,785,1559,534,536,1070,68.63,3,"TESTOLINA","MARINELLA",95,9.04,NA,3,"CONTINUITA' E FUTURO",95,9.04
"031040230","108023","D286","DESIO","0230","MONZA E DELLA BRIANZA","104","LOMBARDIA","03",16905,16248,33153,8064,7555,15619,47.11,2,"MOSCATELLI","CARLO",7725,50.56,"S",7,"PARTITO DEMOCRATICO",4019,27.77
"031040230","108023","D286","DESIO","0230","MONZA E DELLA BRIANZA","104","LOMBARDIA","03",16905,16248,33153,8064,7555,15619,47.11,2,"MOSCATELLI","CARLO",7725,50.56,"S",10,"DESIO LIBERA",1038,7.17
"031040230","108023","D286","DESIO","0230","MONZA E DELLA BRIANZA","104","LOMBARDIA","03",16905,16248,33153,8064,7555,15619,47.11,2,"MOSCATELLI","CARLO",7725,50.56,"S",6,"INSIEME PER DESIO",906,6.26
"031040230","108023","D286","DESIO","0230","MONZA E DELLA BRIANZA","104","LOMBARDIA","03",16905,16248,33153,8064,7555,15619,47.11,2,"MOSCATELLI","CARLO",7725,50.56,"S",8,"DESIO VIVA",895,6.18
