"cod_elettorale","cod_istat","cod_catastale","desc_comune","cod_comune","desc_provincia","cod_provincia","desc_regione","cod_regione","ele_f","ele_m","ele_t","vot_f","vot_m","vot_t","perc","perc_r","data","ora","comunicazione"
180970140,"101014","F108","Melissa","0140","Crotone","097","Calabria","18",1934,2027,3961,0,0,555,14.01,17.17,"2025-05-25","12:00",1
180970140,"101014","F108","Melissa","0140","Crotone","097","Calabria","18",1934,2027,3961,0,0,1396,35.24,45.84,"2025-05-25","19:00",2
180970140,"101014","F108","Melissa","0140","Crotone","097","Calabria","18",1934,2027,3961,0,0,1761,44.46,54.01,"2025-05-25","23:00",3
180970140,"101014","F108","Melissa","0140","Crotone","097","Calabria","18",1934,2027,3961,1040,1014,2054,51.86,54.01,"2025-05-26","15:00",4
180670450,"080045","E956","Marina Di Gioiosa Ionica","0450","Reggio Calabria","067","Calabria","18",3311,3029,6340,0,0,659,10.39,10.68,"2025-05-25","12:00",1
180670450,"080045","E956","Marina Di Gioiosa Ionica","0450","Reggio Calabria","067","Calabria","18",3311,3029,6340,0,0,2001,31.56,37.32,"2025-05-25","19:00",2
180670450,"080045","E956","Marina Di Gioiosa Ionica","0450","Reggio Calabria","067","Calabria","18",3311,3029,6340,0,0,2836,44.73,47.58,"2025-05-25","23:00",3
180670450,"080045","E956","Marina Di Gioiosa Ionica","0450","Reggio Calabria","067","Calabria","18",3311,3029,6340,1865,1753,3618,57.07,47.58,"2025-05-26","15:00",4
180670500,"080050","F112","Melito Di Porto Salvo","0500","Reggio Calabria","067","Calabria","18",4316,3883,8199,0,0,814,9.93,8.94,"2025-05-25","12:00",1
180670500,"080050","F112","Melito Di Porto Salvo","0500","Reggio Calabria","067","Calabria","18",4316,3883,8199,0,0,2538,30.95,29.99,"2025-05-25","19:00",2
180670500,"080050","F112","Melito Di Porto Salvo","0500","Reggio Calabria","067","Calabria","18",4316,3883,8199,0,0,3525,42.99,41.29,"2025-05-25","23:00",3
180670500,"080050","F112","Melito Di Porto Salvo","0500","Reggio Calabria","067","Calabria","18",4316,3883,8199,2306,2339,4645,56.65,57.97,"2025-05-26","15:00",4
